opt_sol,opt_cost,adj_matrix,max_cost,size,avg_cost_new_method_p_layer_circuit_384,avg_gap_new_method_p_layer_circuit_384,avg_opt_reached_new_method_p_layer_circuit_384,avg_proba_new_method_p_layer_circuit_384,avg_cost_new_method_censored_circuit_384,avg_gap_new_method_censored_circuit_384,avg_opt_reached_new_method_censored_circuit_384,avg_proba_new_method_censored_circuit_384,avg_cost_old_gray_trotter_method,avg_gap_old_gray_trotter_method,avg_opt_reached_old_gray_trotter_method,avg_proba_old_gray_trotter_method
"[0, 2, 5, 7, 4, 1, 6, 3]",84,"[[0, 14, 7, 3, 20, 17, 3, 27], [14, 0, 20, 15, 20, 22, 14, 33], [7, 20, 0, 8, 20, 15, 9, 23], [3, 15, 8, 0, 23, 20, 1, 30], [20, 20, 20, 23, 0, 7, 22, 14], [17, 22, 15, 20, 7, 0, 20, 10], [3, 14, 9, 1, 22, 20, 0, 30], [27, 33, 23, 30, 14, 10, 30, 0]]",297,8,100.0,19.04761904761905,0.0,3.2,136.0,61.9047619047619,0.0,21.099999999999998,87.0,3.5714285714285836,0.0,0.3
"[0, 5, 2, 7, 4, 1, 3, 6]",115,"[[0, 39, 37, 32, 41, 26, 23, 33], [39, 0, 24, 7, 11, 37, 15, 13], [37, 24, 0, 20, 15, 19, 23, 12], [32, 7, 20, 0, 11, 31, 9, 8], [41, 11, 15, 11, 0, 32, 19, 8], [26, 37, 19, 31, 32, 0, 27, 25], [23, 15, 23, 9, 19, 27, 0, 13], [33, 13, 12, 8, 8, 25, 13, 0]]",369,8,128.0,11.304347826086953,0.0,70.1,176.0,53.04347826086956,0.0,0.5,171.0,48.69565217391306,0.0,0.3
"[0, 5, 1, 4, 6, 2, 3, 7]",131,"[[0, 20, 38, 17, 28, 19, 32, 2], [20, 0, 57, 38, 34, 2, 47, 21], [38, 57, 0, 20, 37, 57, 18, 38], [17, 38, 20, 0, 29, 37, 20, 17], [28, 34, 37, 29, 0, 36, 19, 30], [19, 2, 57, 37, 36, 0, 48, 20], [32, 47, 18, 20, 19, 48, 0, 33], [2, 21, 38, 17, 30, 20, 33, 0]]",513,8,175.0,33.587786259541986,0.0,2.7,212.0,61.8320610687023,0.0,35.099999999999994,144.0,9.92366412213741,0.0,41.6
"[0, 1, 3, 7, 5, 2, 6, 4]",156,"[[0, 5, 28, 15, 42, 13, 37, 21], [5, 0, 34, 12, 47, 12, 43, 15], [28, 34, 0, 42, 26, 32, 20, 49], [15, 12, 42, 0, 48, 25, 45, 19], [42, 47, 26, 48, 0, 51, 6, 62], [13, 12, 32, 25, 51, 0, 46, 20], [37, 43, 20, 45, 6, 46, 0, 58], [21, 15, 49, 19, 62, 20, 58, 0]]",558,8,180.0,15.384615384615373,0.0,2.4,302.0,93.58974358974359,0.0,6.5,202.0,29.487179487179503,0.0,0.3
"[0, 1, 3, 5, 6, 2, 4, 7]",113,"[[0, 21, 45, 27, 22, 25, 34, 1], [21, 0, 42, 6, 22, 5, 28, 20], [45, 42, 0, 41, 23, 39, 14, 44], [27, 6, 41, 0, 25, 2, 27, 26], [22, 22, 23, 25, 0, 22, 12, 21], [25, 5, 39, 2, 22, 0, 25, 24], [34, 28, 14, 27, 12, 25, 0, 33], [1, 20, 44, 26, 21, 24, 33, 0]]",405,8,114.0,0.8849557522123916,0.0,44.800000000000004,160.0,41.592920353982294,0.0,8.200000000000001,185.0,63.716814159292056,0.0,0.3
"[0, 1, 5, 4, 3, 6, 2, 7]",131,"[[0, 2, 17, 39, 40, 29, 23, 13], [2, 0, 15, 37, 37, 28, 20, 12], [17, 15, 0, 24, 35, 38, 7, 8], [39, 37, 24, 0, 26, 48, 17, 32], [40, 37, 35, 26, 0, 30, 31, 42], [29, 28, 38, 48, 30, 0, 40, 40], [23, 20, 7, 17, 31, 40, 0, 15], [13, 12, 8, 32, 42, 40, 15, 0]]",432,8,131.0,0.0,1.0,66.0,221.0,68.70229007633588,0.0,55.50000000000001,181.0,38.1679389312977,0.0,0.3
"[0, 3, 2, 5, 4, 1, 6, 7]",125,"[[0, 24, 18, 9, 19, 28, 25, 37], [24, 0, 17, 22, 12, 19, 20, 37], [18, 17, 0, 10, 5, 10, 31, 48], [9, 22, 10, 0, 13, 20, 30, 45], [19, 12, 5, 13, 0, 10, 28, 45], [28, 19, 10, 20, 10, 0, 38, 55], [25, 20, 31, 30, 28, 38, 0, 17], [37, 37, 48, 45, 45, 55, 17, 0]]",495,8,153.0,22.39999999999999,0.0,6.0,186.0,48.80000000000001,0.0,66.5,171.0,36.80000000000001,0.0,0.5
"[0, 6, 4, 3, 5, 1, 2, 7]",128,"[[0, 18, 8, 25, 20, 33, 14, 7], [18, 0, 10, 32, 33, 16, 29, 13], [8, 10, 0, 28, 25, 26, 19, 5], [25, 32, 28, 0, 11, 37, 37, 22], [20, 33, 25, 11, 0, 42, 28, 20], [33, 16, 26, 37, 42, 0, 45, 26], [14, 29, 19, 37, 28, 45, 0, 21], [7, 13, 5, 22, 20, 26, 21, 0]]",405,8,144.0,12.5,0.0,8.9,202.0,57.8125,0.0,4.3999999999999995,180.0,40.625,0.0,1.6
"[0, 3, 2, 4, 1, 7, 5, 6]",136,"[[0, 35, 16, 14, 35, 29, 28, 55], [35, 0, 20, 22, 7, 10, 27, 20], [16, 20, 0, 2, 21, 12, 17, 39], [14, 22, 2, 0, 23, 14, 18, 41], [35, 7, 21, 23, 0, 15, 32, 24], [29, 10, 12, 14, 15, 0, 17, 27], [28, 27, 17, 18, 32, 17, 0, 40], [55, 20, 39, 41, 24, 27, 40, 0]]",495,8,187.0,37.5,0.0,0.3,205.0,50.735294117647044,0.0,0.5,142.0,4.411764705882362,0.0,36.3
"[0, 1, 4, 7, 2, 3, 5, 6]",142,"[[0, 12, 37, 29, 5, 25, 10, 14], [12, 0, 49, 36, 9, 32, 21, 20], [37, 49, 0, 43, 40, 42, 31, 35], [29, 36, 43, 0, 34, 4, 21, 42], [5, 9, 40, 34, 0, 29, 15, 12], [25, 32, 42, 4, 29, 0, 17, 39], [10, 21, 31, 21, 15, 17, 0, 21], [14, 20, 35, 42, 12, 39, 21, 0]]",441,8,160.0,12.676056338028175,0.0,1.0,180.0,26.760563380281695,0.0,29.799999999999997,160.0,12.676056338028175,0.0,38.9
"[0, 3, 4, 2, 5, 1, 6, 7]",149,"[[0, 32, 54, 8, 20, 38, 30, 14], [32, 0, 36, 38, 41, 7, 5, 20], [54, 36, 0, 55, 48, 37, 32, 40], [8, 38, 55, 0, 13, 45, 35, 18], [20, 41, 48, 13, 0, 48, 37, 21], [38, 7, 37, 45, 48, 0, 11, 27], [30, 5, 32, 35, 37, 11, 0, 17], [14, 20, 40, 18, 21, 27, 17, 0]]",495,8,154.0,3.3557046979865817,0.0,51.9,305.0,104.69798657718118,0.0,13.3,161.0,8.053691275167793,0.0,62.4
"[0, 1, 4, 5, 3, 2, 7, 6]",137,"[[0, 24, 20, 20, 26, 11, 21, 28], [24, 0, 42, 43, 5, 26, 37, 48], [20, 42, 0, 21, 45, 29, 11, 9], [20, 43, 21, 0, 44, 19, 30, 29], [26, 5, 45, 44, 0, 26, 41, 52], [11, 26, 29, 19, 26, 0, 32, 38], [21, 37, 11, 30, 41, 32, 0, 12], [28, 48, 9, 29, 52, 38, 12, 0]]",468,8,237.0,72.99270072992701,0.0,0.5,192.0,40.14598540145985,0.0,6.6000000000000005,242.0,76.64233576642337,0.0,0.2
"[0, 3, 2, 4, 1, 7, 6, 5]",123,"[[0, 31, 10, 1, 29, 9, 22, 36], [31, 0, 32, 31, 29, 22, 10, 23], [10, 32, 0, 9, 21, 13, 26, 42], [1, 31, 9, 0, 28, 9, 22, 36], [29, 29, 21, 28, 0, 24, 30, 48], [9, 22, 13, 9, 24, 0, 13, 29], [22, 10, 26, 22, 30, 13, 0, 18], [36, 23, 42, 36, 48, 29, 18, 0]]",432,8,127.0,3.2520325203252014,0.0,8.799999999999999,225.0,82.92682926829269,0.0,9.4,148.0,20.325203252032537,0.0,28.599999999999998
"[0, 1, 3, 4, 7, 6, 2, 5]",139,"[[0, 10, 46, 11, 17, 14, 10, 16], [10, 0, 57, 18, 23, 21, 21, 25], [46, 57, 0, 47, 48, 38, 38, 39], [11, 18, 47, 0, 5, 23, 10, 9], [17, 23, 48, 5, 0, 28, 13, 9], [14, 21, 38, 23, 28, 0, 16, 23], [10, 21, 38, 10, 13, 16, 0, 7], [16, 25, 39, 9, 9, 23, 7, 0]]",513,8,162.0,16.546762589928065,0.0,16.6,172.0,23.741007194244617,0.0,4.8,151.0,8.633093525179845,0.0,16.3
